name,latitude,longitude,arrondissement
Eiffel Tower,48.8584,2.2945,7
The Louvre,48.8606,2.3376,1
Jardin du Luxembourg,48.8462,2.3372,6
Le Marais,48.8587,2.3588,3
Musee d'Orsay,48.86,2.3266,7
Sainte-Chapelle,48.8554,2.345,1
Palais Garnier - Opera,48.872,2.3316,9
Notre Dame Cathedral,48.853,2.3499,4
Musee de l'Orangerie,48.8638,2.3227,1
Pont Alexandre III,48.8639,2.3136,7
