,index,nomptar,CodeINSEE,coord
115,251,Etienne Marcel,75101,"48.8637103257, 2.34898319279"
116,257,Europe,75108,"48.8790603985, 2.32297462907"
117,496,Exelmans,75116,"48.8429069378, 2.26014439455"
118,295,Faidherbe-Chaligny,75111,"48.8500676272, 2.38442876741"
119,534,Falguière,75115,"48.8443233422, 2.31756467285"
120,232,Filles du Calvaire,75103,"48.8630781356, 2.36674588025"
121,794,Fontaine-Michalon,92002,"48.7439325227, 2.29706733128"
122,595,Fontenay-aux-Roses,92032,"48.7877565604, 2.29189184957"
123,393,Fontenay-sous-Bois,94033,"48.8434118184, 2.46481539994"
124,163,Fort d'Aubervilliers,93001,"48.9140567044, 2.40357633118"
125,105,Franklin-Roosevelt,75108,"48.8690103872, 2.31025317756"
126,541,Front Populaire,93001,"48.9066665471, 2.36523013252"
127,803,Funiculaire Gare basse,75118,"48.8845882633, 2.34319624903"
128,643,Funiculaire Gare haute,75118,"48.8855678748, 2.34311459507"
129,225,Félix Faure,75115,"48.8428245269, 2.29222496289"
130,701,Gabriel-Péri,92004,"48.9165747952, 2.29432896135"
131,275,Gallieni (Parc de Bagnolet),93006,"48.8632624857, 2.41597536517"
132,355,Gambetta,75120,"48.8647826599, 2.39844583044"
133,363,Gare d'Austerlitz,75113,"48.8434141834, 2.36418838953"
134,2,Gare de Lyon,75112,"48.8455597463, 2.37344920163"
135,34,Gare de l'Est (Verdun),75110,"48.8766957953, 2.35799250722"
136,33,Gare du Nord,75110,"48.8797430235, 2.35460080714"
137,554,Garibaldi,93070,"48.9063821235, 2.33191047013"
138,629,Gaîté,75114,"48.8387517806, 2.32250918289"
139,718,Gentilly,94037,"48.8157442651, 2.34087477169"
140,307,George V,75108,"48.8720455787, 2.30076918231"
141,677,Gif-sur-Yvette,91272,"48.6984244547, 2.13726749699"
142,58,Glacière,75113,"48.8308613646, 2.34455142997"
143,618,Goncourt (Hôpital Saint-L1s),75110,"48.8700153145, 2.37076879569"
144,92,Grands Boulevards,75109,"48.8715747028, 2.34289502865"
145,553,Guy-Môquet,75118,"48.8930090153, 2.32749583616"
146,913,H1lles Carrières-sur-Seine,78311,"48.9206455546, 2.18441175202"
147,128,Havre-Caumartin,75109,"48.8734618499, 2.32848048114"
148,368,Hoche,93055,"48.891499343, 2.40312495732"
149,202,Hôtel de Ville,75104,"48.8573558864, 2.35207356353"
150,236,Invalides,75107,"48.8610934269, 2.31464335201"
151,500,Iéna,75116,"48.8643501589, 2.29404526045"
152,148,Jacques-Bonsergent,75110,"48.8707007825, 2.36057863225"
153,195,Jasmin,75116,"48.8524384784, 2.26793391967"
154,13,Jaurès,75119,"48.882768506, 2.36994579566"
155,610,Javel-André-Citroen,75115,"48.8459638397, 2.27781512302"
156,588,Joinville-le-Pont,94042,"48.8210696376, 2.46383495297"
157,771,Jourdain,75120,"48.8752482539, 2.38932943082"
158,627,Jules Joffrin,75118,"48.8924969362, 2.34432840722"
159,73,Jussieu,75105,"48.8459683914, 2.35480738936"
160,158,Kléber,75116,"48.8713061083, 2.29333101756"
161,165,L1s Blanc,75110,"48.8809003874, 2.36510721493"
162,256,L1se Michel,92044,"48.8892695815, 2.28805512147"
163,280,La Chapelle,75110,"48.8843886576, 2.35927656094"
164,212,La Courneuve-8-Mai-1945,93027,"48.920514466, 2.41022577579"
165,671,La Courneuve-Aubervilliers,93001,"48.9240233942, 2.38440066136"
166,939,La Croix-de-Berny,92002,"48.7621447507, 2.30416361167"
167,5,La Défense (Grande Arche),92062,"48.8918267141, 2.23799203988"
168,552,La Fourche,75117,"48.8874368018, 2.32572521868"
169,667,La Hacquinière,91122,"48.6950606912, 2.15266413344"
170,220,La Motte-Picquet-Grenelle,75115,"48.8488031653, 2.29769423133"
171,196,La Muette,75116,"48.8580950089, 2.27409644478"
172,599,La Plaine-Stade de France,93066,"48.9181166004, 2.36260451523"
173,189,La Tour-Maubourg,75107,"48.8572278199, 2.30979622249"
174,578,La Varenne-Chennevières,94068,"48.794933504, 2.51304475439"
175,545,Lamarck-Caulaincourt,75118,"48.889738067, 2.33914908334"
176,720,Laplace,94003,"48.8076372956, 2.33325414336"
177,264,Laumière,75119,"48.8849315698, 2.37909124357"
178,800,Le Bourget,93013,"48.9306861891, 2.42569376628"
179,799,Le Guichet,91471,"48.7048670134, 2.19126558338"
180,83,Le Kremlin-Bicêtre,94043,"48.8103850843, 2.36183067976"
181,577,Le Parc de Saint-Maur,94068,"48.8051541254, 2.48560756857"
182,465,Le Peletier,75109,"48.8749630173, 2.34015678752"
183,582,Le Vésinet-Centre,78650,"48.8900956656, 2.13437461099"
184,581,Le Vésinet-Le Pecq,78650,"48.8983508533, 2.12182892211"
185,313,Ledru-Rollin,75112,"48.8511941246, 2.37593173368"
186,634,Les Agnettes,92004,"48.9229162908, 2.28596389324"
187,665,Les Baconnets,92002,"48.7393808872, 2.28759904436"
188,335,Les Gobelins,75113,"48.836127399, 2.3520811145"
189,41,Les Halles,75101,"48.86201193, 2.34647644857"
190,4,Les Sablons (Jardin d'acclimatation),92051,"48.8812991447, 2.27191517268"
191,184,Liberté,94018,"48.8256370709, 2.40741080209"
192,694,Liège,75108,"48.8795371256, 2.32685794394"
193,399,Lognes,77258,"48.8389222959, 2.63394987092"
194,188,Lourmel,75115,"48.8386680882, 2.28224848505"
195,203,Louvre-Rivoli,75101,"48.8608798168, 2.34097327248"
196,834,Lozère,91477,"48.7060497522, 2.21156541289"
197,593,Luxembourg,75105,"48.8467785183, 2.34044117784"
198,853,Mabillon,75106,"48.8528450929, 2.33514371518"
199,85,Madeleine,75108,"48.8695070869, 2.32468019626"
200,620,Mairie d'Issy,92040,"48.8243464852, 2.27356582627"
201,170,Mairie d'Ivry,94041,"48.8112144947, 2.3835089254"
202,556,Mairie de Clichy,92024,"48.9039784414, 2.30540903178"
203,601,Mairie de Montreuil,93048,"48.8622809456, 2.44182767579"
204,46,Mairie de Montrouge,92049,"48.8184662963, 2.31964321528"
205,555,Mairie de Saint-Ouen,93070,"48.9116216396, 2.33373696151"
206,523,Mairie des Lilas,93045,"48.880051021, 2.41566020273"
207,226,Maison Blanche,75113,"48.8228787343, 2.35807989096"
208,230,Maisons-Alfort-Les Juilliottes,94046,"48.802500401, 2.44618361523"
209,185,Maisons-Alfort-Stade,94046,"48.8082253066, 2.43627581772"
210,655,Maisons-Laffitte,78358,"48.9460471916, 2.14425167331"
211,557,Malakoff-Plateau de Vanves,92020,"48.8224426532, 2.297932102"
212,636,Malakoff-Rue Etienne Dolet,92020,"48.8147040198, 2.29728472684"
213,24,Malesherbes,75117,"48.8825364321, 2.31100923967"
214,379,Maraîchers,75120,"48.8526003616, 2.40638498623"
215,40,Marcadet-Poissonniers,75118,"48.8915438899, 2.34937111205"
216,316,Marcel Sembat,92012,"48.8338085462, 2.24348061108"
